Body,Department,Priority,Tags
Reporting an issue the laptop does not match what was described in my order,Sales and Pre-Sales,Low,damaged item
Kindly assist the printer was damaged during shipping and needs to be returned,Returns and Exchanges,Low,replacement request
Quick question my OneDrive mailbox is not syncing after the system update,Technical Support,Critical,system update
Reporting an issue the Outlook on my workstation will not open after the Office 365 update,Technical Support,High,password login
For your attention i would like to learn more about the security solution before purchasing,Sales and Pre-Sales,Low,trial evaluation
Need support i cannot connect to the company office network from the airport,Technical Support,Critical,server access
Need support please update my emergency contact in my profile information,Human Resources,High,onboarding paperwork
For your attention my auto-payment for the annual contract failed this billing cycle,Billing and Payments,High,purchase order
Hi team my access badge is not working for Active Directory,Technical Support,Medium,wifi connection
Urgent my payment for the cloud storage did not go through successfully,Billing and Payments,Low,statement billing
The invoice shows a total amount that I do not recognize,Billing and Payments,Medium,overcharge dispute
Hi team my tablet is displaying errors after the recent driver update,Technical Support,High,cloud storage
FYI i would like to learn more about the backup solution before purchasing,Sales and Pre-Sales,Medium,sales inquiry
Please help i need a refund for the an incorrect amount on my last monthly statement,Billing and Payments,Medium,purchase order
Quick question my vacation time request has not been approved yet,Human Resources,Medium,payroll salary
Requesting assistance my bank transfer was declined when paying the invoice,Billing and Payments,Low,payment failed
Following up we are considering switching to your hosting solution,Sales and Pre-Sales,Medium,bulk purchase
For your attention i would like a full refund for the scratched docking station,Returns and Exchanges,Low,exchange product
Good morning my refund for the returned office chair has not arrived yet,Returns and Exchanges,High,exchange product
Following up my the internal portal mailbox is not syncing after the system update,Technical Support,Critical,printer issue
Quick question the headset does not match what was described in my order,Returns and Exchanges,Low,wrong item
Kindly assist i would like a full refund for the malfunctioning office chair,Returns and Exchanges,Medium,return label
Following up i would like a quote for thirty units of your analytics tool,Sales and Pre-Sales,Medium,quote pricing
Kindly assist can you resend my pay stub as I did not receive it,Human Resources,Low,reimbursement claim
Hello the monitor arrived late and is no longer needed,Returns and Exchanges,Low,return refund
Urgent i would like to apply for study leave starting next month,Human Resources,High,enrollment benefits
Requesting an extension on my study leave due to personal reasons,Human Resources,Low,leave request
Quick question requesting a proposal for deploying backup solution across our team,Sales and Pre-Sales,Low,trial evaluation
Hello i need clarification on the line item in this month's invoice,Billing and Payments,Medium,subscription charge
FYI i was charged an incorrect amount for my support package subscription,Billing and Payments,High,tax invoice
Following up my bank details update in the portal is still showing as pending,Human Resources,Medium,payroll salary
Please help can you provide pricing details for the software suite package,Sales and Pre-Sales,Low,enterprise plan
For your attention the WiFi connection drops repeatedly during large downloads,Technical Support,High,cloud storage
Quick question the billing system charged me twice for the same cloud storage,Billing and Payments,Low,invoice payment
For your attention i want to opt out of the health insurance for the next enrollment period,Human Resources,Medium,employee benefits
Following up can you clarify the company policy regarding gym membership,Human Resources,Low,enrollment benefits
Requesting a return authorization for the defective laptop,Returns and Exchanges,Low,exchange product
Following up requesting installation of Exchange on my work desktop,Technical Support,Low,server access
Hi team i would like a full refund for the defective monitor,Returns and Exchanges,Low,defective hardware
Need support the purchase order was billed at the wrong subscription fee,Billing and Payments,Medium,refund billing
Need support the monitor keeps disconnecting from my tablet,Technical Support,High,authentication error
For your attention i want to renew our contract and expand our licensing usage,Sales and Pre-Sales,Medium,subscription renewal
I would like to compare your monitoring platform against competitors,Sales and Pre-Sales,Medium,subscription renewal
Following up how do I exchange the printer for the correct color,Returns and Exchanges,Medium,damaged item
For your attention i was charged an unauthorized charge for my monthly plan subscription,Billing and Payments,Medium,duplicate charge
Reporting an issue i would like to learn more about the cloud platform before purchasing,Sales and Pre-Sales,Low,subscription renewal
Good morning requesting clarification on my remaining study leave balance,Human Resources,High,hr portal
Please help my laptop is making noise after the recent firmware update,Technical Support,Medium,wifi connection
Hi team requesting installation of the ERP system on my work monitor,Technical Support,High,password login
Hello please send me the feature comparison for your storage plan plans,Sales and Pre-Sales,Low,license upgrade
Requesting an exchange for the office chair due to it being faulty,Returns and Exchanges,Low,damaged item
Quick question requesting an update to my marital status after a recent change,Human Resources,Medium,enrollment benefits
Quick question what discounts are available for annual hosting contracts,Sales and Pre-Sales,Low,bulk purchase
Following up my auto-payment for the premium plan failed this billing cycle,Billing and Payments,Medium,overcharge dispute
I would like to return the laptop I received last week,Returns and Exchanges,Medium,exchange product
FYI can your team provide a customized quote for storage plan,Sales and Pre-Sales,Medium,subscription renewal
Urgent please share information about your enterprise storage plan options,Sales and Pre-Sales,Low,bulk purchase
Quick question can you provide pricing details for the analytics tool package,Sales and Pre-Sales,Medium,trial evaluation
Following up can you provide pricing details for the software suite package,Sales and Pre-Sales,Medium,bulk purchase
Good morning my account is locked out of Office 365 after multiple attempts,Technical Support,Critical,software install
Following up please process a return label for the scanner I purchased,Returns and Exchanges,Low,return label
Following up i have not received the receipt for last month's premium plan,Billing and Payments,High,purchase order
Kindly assist the printer I ordered is scratched straight out of the box,Returns and Exchanges,Low,exchange product
Urgent i was charged an unauthorized charge for my monthly plan subscription,Billing and Payments,High,overcharge dispute
Reporting an issue my Teams mailbox is not syncing after the driver update,Technical Support,Critical,printer issue
FYI my notebook is overheating after the recent antivirus update,Technical Support,High,laptop hardware
Need support i want to enroll in the company gym membership program,Human Resources,Low,enrollment benefits
Quick question my the ERP system mailbox is not syncing after the antivirus update,Technical Support,Low,printer issue
FYI unable to access the database due to an authentication error,Technical Support,Critical,authentication error
Please help please process a return label for the keyboard I purchased,Returns and Exchanges,High,shipping damage
Reporting an issue can you resend my tax statement as I did not receive it,Human Resources,Low,employee benefits
Urgent my password is not working for Azure,Technical Support,High,server access
Need support we are interested in a partnership regarding your security solution,Technical Support,Medium,sales inquiry
Hi team there is an error in the commission on my payslip,Human Resources,High,tax document
Hi team requesting an update to my contact details after a recent change,Human Resources,Low,hr portal
Requesting assistance my workstation froze completely while running the ERP system,Technical Support,High,password login
Requesting assistance the bank transfer on my account needs to be updated urgently,Billing and Payments,Low,subscription charge
Kindly assist requesting an exchange for the tablet due to it being damaged,Returns and Exchanges,Medium,exchange product
Hi team requesting a trial version of the storage plan for evaluation,Sales and Pre-Sales,High,product demo
Quick question i would like to request my employment letter for a loan application,Human Resources,Low,reimbursement claim
Please help why does my invoice show a currency conversion higher than expected,Billing and Payments,Medium,tax invoice
Hi team the printer stopped working within days of delivery,Returns and Exchanges,High,store credit
Kindly assist my overtime pay from last month is still outstanding,Human Resources,Medium,leave request
Hi team i need pricing for adding more seats to our licensing subscription,Sales and Pre-Sales,Low,subscription renewal
Following up i would like a quote for one hundred units of your software suite,Sales and Pre-Sales,Low,license upgrade
Kindly assist the Outlook keeps crashing whenever I try to upload files,Technical Support,High,active directory
Reporting an issue the mouse I ordered arrived broken and I need a replacement,Returns and Exchanges,Low,shipping damage
FYI the monitor I ordered is not working straight out of the box,Returns and Exchanges,Low,return label
FYI the headset in the office is making noise and needs attention,Technical Support,Critical,password login
Hi team requesting an extension on my study leave due to personal reasons,Human Resources,Low,hr portal
Reporting an issue i need to update my mailing address in the employee portal,Human Resources,High,employee benefits
Need support we are evaluating your monitoring platform for our organization,Sales and Pre-Sales,Low,license upgrade
Reporting an issue there is a connection error appearing when I access the cloud server,Technical Support,Critical,password login
Quick question i need a refund for the an overcharge on my last bill,Billing and Payments,High,purchase order
Kindly assist a duplicate charge for software license appeared on my bill,Billing and Payments,Low,statement billing
Hi team i would like a quote for five units of your software suite,Sales and Pre-Sales,Low,quote pricing
We are considering switching to your support solution,Sales and Pre-Sales,Medium,sales inquiry
Hello my refund for the returned mouse has not arrived yet,Returns and Exchanges,Low,return label
FYI i would like a full refund for the defective webcam,Returns and Exchanges,Low,return label
Kindly assist please explain the currency conversion added to my latest account statement,Billing and Payments,Low,purchase order
Reporting an issue please explain the tax information added to my latest billing statement,Billing and Payments,Medium,subscription charge
Good morning requesting a return authorization for the defective tablet,Returns and Exchanges,High,exchange product
Good morning my workstation froze completely while running Outlook,Technical Support,Medium,server access
For your attention my refund for the returned router has not arrived yet,Sales and Pre-Sales,Low,damaged item
For your attention there is a blue screen appearing when I access the application server,Technical Support,Medium,active directory
Reporting an issue there is a discrepancy in the tax information on my bill,Billing and Payments,Low,statement billing
Please help i am disputing a a double payment that appeared on my invoice,Billing and Payments,Medium,purchase order
Hi team requesting information about my retirement plan coverage,Human Resources,High,employee benefits
Please help we are interested in a partnership regarding your backup solution,Sales and Pre-Sales,Medium,proposal request
Hi team a duplicate charge for monthly plan appeared on my receipt,Billing and Payments,Medium,invoice payment
Kindly assist the monitor in the office is running very slowly and needs attention,Technical Support,Critical,printer issue
Following up my auto-payment for the annual contract failed this billing cycle,Billing and Payments,Low,statement billing
Requesting assistance please arrange a call to discuss our managed service requirements,Sales and Pre-Sales,Low,enterprise plan
FYI i would like to schedule a demo of the storage plan,Sales and Pre-Sales,Medium,sales inquiry
Need support my auto-payment for the annual contract failed this billing cycle,Billing and Payments,High,overcharge dispute
Quick question can I exchange this docking station for a newer configuration,Returns and Exchanges,Low,return refund
Please send me the feature comparison for your software suite plans,Sales and Pre-Sales,Low,quote pricing
Quick question there is a access denied message appearing when I access the application server,Technical Support,Critical,cloud storage
Requesting assistance my deduction was not included in this month's payment,Human Resources,Low,enrollment benefits
Hi team my bank transfer was declined when paying the invoice,Billing and Payments,Medium,subscription charge
Hello unable to access the employee portal due to an authentication error,Technical Support,Medium,wifi connection
Requesting assistance i want to discuss a bulk purchase of several CRM system licenses,Sales and Pre-Sales,Low,sales inquiry
Need support i am disputing a an unauthorized charge that appeared on my account statement,Billing and Payments,Medium,payment failed
Please help my commission from last month is still outstanding,Human Resources,Low,leave request
Requesting assistance the purchase order was billed at the wrong subscription fee,Billing and Payments,High,invoice payment
FYI the replacement printer I received is also malfunctioning,Returns and Exchanges,Low,wrong item
Please help the office chair was damaged during shipping and needs to be returned,Returns and Exchanges,Medium,return refund
Hi team there is a error message appearing when I access the database server,Technical Support,Critical,password login
Please help how do I exchange the office chair for the correct size,Returns and Exchanges,Low,return refund
Reporting an issue my account is locked out of Azure after multiple attempts,Technical Support,Low,system update
Requesting assistance my wellness program deduction seems higher than expected this month,Human Resources,High,tax document
Good morning i need help configuring Teams on my new docking station,Billing and Payments,High,password login
Requesting assistance the billing system charged me twice for the same subscription,Billing and Payments,Medium,payment failed
Requesting assistance please explain the processing fee added to my latest receipt,Billing and Payments,Medium,overcharge dispute
Hi team requesting a copy of the invoice for our accounting records,Billing and Payments,Low,duplicate charge
Good morning the monitor is missing parts and I would like to return it,Returns and Exchanges,Low,store credit
Hello the Outlook keeps crashing whenever I try to access the dashboard,Technical Support,Critical,active directory
For your attention i need to return the mouse because it is malfunctioning,Returns and Exchanges,Low,replacement request
Need support i need to update my profile information in the employee portal,Returns and Exchanges,Medium,payroll salary
FYI how do I exchange the mouse for the correct version,Returns and Exchanges,High,shipping damage
Good morning there is an error in the deduction on my payslip,Human Resources,Medium,leave request
For your attention i need help configuring the internal portal on my new monitor,Technical Support,Critical,software install
Good morning my subscription renewal shows an unexpected total amount,Billing and Payments,High,payment failed
Reporting an issue i suspect my office PC was infected while accessing the intranet,Technical Support,High,software install
Kindly assist i would like a full refund for the broken headset,Returns and Exchanges,Medium,exchange product
Reporting an issue requesting installation of the ERP system on my work monitor,Technical Support,Critical,laptop hardware
Good morning requesting information about my dental coverage coverage,Human Resources,Medium,hr portal
Quick question i am getting a runtime error when opening Teams,Technical Support,Critical,software install
Need support what is the onboarding process for new analytics tool customers,Technical Support,Low,subscription renewal
Need support the keyboard I ordered is scratched straight out of the box,Returns and Exchanges,Low,defective hardware
Kindly assist there is a discrepancy in the total amount on my account statement,Billing and Payments,High,statement billing
FYI we need a scalable analytics tool solution for thirty users,Sales and Pre-Sales,Medium,proposal request
Urgent the webcam I ordered arrived scratched and I need a replacement,Returns and Exchanges,Medium,shipping damage
Kindly assist please correct the late fee listed on my recent invoice,Billing and Payments,Medium,statement billing
Kindly assist the billing statement shows a late fee that I do not recognize,Billing and Payments,Low,tax invoice
Please process a return label for the printer I purchased,Returns and Exchanges,Medium,defective hardware
Following up please confirm the status of my annual leave application,Human Resources,Medium,employment letter
Hi team i have not received my tax form for tax filing purposes,Human Resources,High,leave request
Kindly assist i need to update my direct deposit information in the employee portal,Human Resources,High,leave request
Urgent my disability insurance deduction seems higher than expected this month,Returns and Exchanges,High,payroll salary
Reporting an issue the Zoom keeps crashing whenever I try to access the dashboard,Technical Support,Low,active directory
The refund I requested for cloud storage has not been processed yet,Billing and Payments,Low,refund billing
Hi team there is a error message appearing when I access the application server,Technical Support,Critical,password login
Hi team our hosting service was billed before the trial period ended,Billing and Payments,Low,duplicate charge
For your attention please explain the service charge added to my latest invoice,Billing and Payments,Low,statement billing
Need support we need a scalable analytics tool solution for thirty users,Sales and Pre-Sales,Low,bulk purchase
Good morning how do I exchange the office chair for the correct version,Returns and Exchanges,Medium,damaged item
For your attention the docking station I ordered is scratched straight out of the box,Returns and Exchanges,High,damaged item
Hi team i am getting a timeout error when opening SharePoint,Technical Support,Critical,server access
Urgent i would like to review my benefits options for next year,Human Resources,Medium,onboarding paperwork
Need support i would like to learn more about the cloud platform before purchasing,Sales and Pre-Sales,Low,subscription renewal
Urgent my desktop shows a fatal error immediately after startup,Technical Support,High,system update
For your attention OneDrive fails to sync my data with the cloud server,Technical Support,Critical,vpn network
Hello the the CRM application on my docking station will not open after the security patch update,Technical Support,Critical,server access
Hello we are considering switching to your hosting solution,Sales and Pre-Sales,Medium,subscription renewal
Quick question the tax amount on my account statement appears to be calculated incorrectly,Billing and Payments,High,statement billing
FYI my auto-payment for the support package failed this billing cycle,Billing and Payments,Low,duplicate charge
Hello please correct the discount listed on my recent invoice,Billing and Payments,Low,tax invoice
FYI i want to renew our contract and expand our subscription usage,Sales and Pre-Sales,Low,enterprise plan
Kindly assist a duplicate charge for hosting service appeared on my bill,Billing and Payments,Low,subscription charge
Urgent the Outlook on my workstation will not open after the system update,Technical Support,Critical,cloud storage
Need support my credit card was declined when paying the monthly statement,Billing and Payments,Low,subscription charge
Requesting assistance my OneDrive mailbox is not syncing after the Office 365 update,Technical Support,Critical,vpn network
Quick question i need a letter confirming my employment for offer letter purposes,Human Resources,Medium,enrollment benefits
Need support the refund I requested for support package has not been processed yet,Billing and Payments,Low,tax invoice
Please help the docking station stopped working within days of delivery,Returns and Exchanges,Medium,store credit
Quick question the tax amount on my receipt appears to be calculated incorrectly,Billing and Payments,Low,duplicate charge
Good morning please explain the discount added to my latest monthly statement,Billing and Payments,Medium,purchase order
Reporting an issue i need a letter confirming my employment for salary certificate purposes,Human Resources,Medium,employee benefits
Need support my office PC cannot detect the scanner anymore,Technical Support,Critical,authentication error
Kindly assist i would like to review my health insurance options for next year,Human Resources,Medium,employment letter
Requesting assistance i would like a quote for twenty units of your security solution,Sales and Pre-Sales,Low,product demo
Good morning can your team provide a customized quote for monitoring platform,Sales and Pre-Sales,Low,product demo
Requesting assistance i would like to review my dental coverage options for next year,Returns and Exchanges,Low,leave request
Hi team please share information about your enterprise monitoring platform options,Sales and Pre-Sales,Low,proposal request
Quick question the refund I requested for premium plan has not been processed yet,Billing and Payments,Medium,statement billing
Hi team my desktop is running very slowly after the recent system update,Technical Support,Critical,active directory
Good morning i cannot log into the intranet using multi-factor authentication,Technical Support,Medium,printer issue
Requesting assistance the printer in the office is freezing frequently and needs attention,Technical Support,Critical,cloud storage
FYI what are the licensing options for the security solution,Sales and Pre-Sales,Medium,trial evaluation
Requesting assistance the access badge reset link for the cloud storage is not working,Technical Support,Critical,vpn network
Hello the account statement shows a currency conversion that I do not recognize,Human Resources,Low,invoice payment
Quick question i need help configuring Exchange on my new tablet,Technical Support,High,wifi connection
Please help the scanner in the office is not turning on and needs attention,Technical Support,Low,laptop hardware
Quick question the phone number change I submitted has not reflected in the system,Human Resources,Low,onboarding paperwork
My shift allowance from last month is still outstanding,Human Resources,High,enrollment benefits
Please help i want to discuss a bulk purchase of thirty security solution licenses,Technical Support,Low,sales inquiry
Urgent we need a scalable collaboration suite solution for fifteen users,Sales and Pre-Sales,High,proposal request
FYI requesting an extension on my bereavement leave due to personal reasons,Human Resources,Medium,payroll salary
Hello please help me understand the retirement plan claim process,Human Resources,High,leave request
Kindly assist please explain the processing fee added to my latest billing statement,Billing and Payments,Medium,overcharge dispute
For your attention my laptop cannot detect the printer anymore,Technical Support,High,password login
Hello why does my receipt show a currency conversion higher than expected,Human Resources,Low,refund billing
Reporting an issue my payment method was declined when paying the invoice,Billing and Payments,Medium,invoice payment
Reporting an issue my access badge is not working for the employee portal,Technical Support,Critical,wifi connection
Hello requesting a trial version of the cloud platform for evaluation,Sales and Pre-Sales,Low,bulk purchase
For your attention we need a scalable backup solution solution for fifteen users,Sales and Pre-Sales,Medium,license upgrade
Urgent the invoice generated this month contains incorrect service charge,Billing and Payments,Low,overcharge dispute
Good morning i would like a quote for ten units of your monitoring platform,Sales and Pre-Sales,Low,proposal request
Requesting assistance requesting a return authorization for the defective mouse,Returns and Exchanges,Low,replacement request
For your attention my deduction was not included in this month's payment,Human Resources,Low,hr portal
Following up please share information about your enterprise backup solution options,Sales and Pre-Sales,Low,subscription renewal
Reporting an issue my laptop froze completely while running the internal portal,Technical Support,Critical,laptop hardware
Please help my salary slip shows an incorrect allowance,Human Resources,Low,tax document
Following up i would like to review my gym membership options for next year,Human Resources,High,onboarding paperwork
Need support my tablet shows a blue screen immediately after startup,Technical Support,Critical,laptop hardware
For your attention the mouse I ordered is the wrong model straight out of the box,Returns and Exchanges,Low,replacement request
Please explain the unit price added to my latest bill,Billing and Payments,Medium,refund billing
Hello requesting installation of the accounting software on my work workstation,Technical Support,Low,system update
Please help i am disputing a a double payment that appeared on my account statement,Billing and Payments,Low,tax invoice
We are evaluating your security solution for our organization,Sales and Pre-Sales,Medium,product demo
Kindly assist i need access to my income proof through the employee portal,Human Resources,Medium,reimbursement claim
Urgent my direct debit was declined when paying the billing statement,Billing and Payments,Low,refund billing
Quick question my Zoom mailbox is not syncing after the antivirus update,Technical Support,Medium,authentication error
Please help the the CRM application keeps crashing whenever I try to save my work,Technical Support,Critical,password login
Need support what discounts are available for annual managed service contracts,Sales and Pre-Sales,Medium,license upgrade
I need to return the keyboard because it is damaged,Returns and Exchanges,Low,wrong item
Hi team i want to discuss a bulk purchase of ten cloud platform licenses,Sales and Pre-Sales,High,license upgrade
Hi team the refund I requested for annual contract has not been processed yet,Billing and Payments,Low,payment failed
The replacement tablet I received is also missing components,Returns and Exchanges,High,wrong item
For your attention i cannot connect to the company wireless network from the branch office,Technical Support,High,vpn network
Hi team i would like to review my retirement plan options for next year,Returns and Exchanges,Low,employee benefits
FYI i need a letter confirming my employment for tax form purposes,Human Resources,High,employee benefits
For your attention i have not received my employment letter for tax filing purposes,Returns and Exchanges,High,enrollment benefits
Reporting an issue what discounts are available for annual premium contracts,Sales and Pre-Sales,Medium,license upgrade
Please help what are the licensing options for the storage plan,Sales and Pre-Sales,Low,quote pricing
Need support my workstation shows a blue screen immediately after startup,Technical Support,Critical,outlook email
For your attention please share information about your enterprise software suite options,Sales and Pre-Sales,Low,quote pricing
For your attention what are the licensing options for the cloud platform,Sales and Pre-Sales,Medium,product demo
FYI please update my emergency contact in my profile information,Human Resources,Medium,reimbursement claim
Please help the personal information change I submitted has not reflected in the system,Human Resources,Low,reimbursement claim
Kindly assist requesting clarification on my remaining unpaid leave balance,Human Resources,Medium,onboarding paperwork
Hello the printer I ordered arrived incomplete and I need a replacement,Returns and Exchanges,Low,defective hardware
Please help i need access to my offer letter through the employee portal,Human Resources,Low,hr portal
FYI please share information about your enterprise monitoring platform options,Sales and Pre-Sales,Medium,proposal request
Quick question please correct the discount listed on my recent invoice,Billing and Payments,High,overcharge dispute
Please help i suspect my laptop was infected while accessing the database,Technical Support,Medium,cloud storage
Requesting assistance i want to discuss a bulk purchase of thirty monitoring platform licenses,Technical Support,Medium,proposal request
Following up i would like to return the keyboard I received last week,Returns and Exchanges,Medium,return label
Please help the scanner keeps disconnecting from my tablet,Technical Support,High,password login
Urgent a duplicate charge for monthly plan appeared on my monthly statement,Billing and Payments,Medium,statement billing
Please help i need to return the headset as it is incompatible with my setup,Returns and Exchanges,Medium,exchange product
Reporting an issue the mouse does not work with our existing equipment,Returns and Exchanges,Medium,return refund
Hi team the desktop will not wake from sleep even after restarting it,Technical Support,Critical,laptop hardware
Need support a duplicate charge for monthly plan appeared on my monthly statement,Billing and Payments,Low,payment failed
For your attention the Zoom keeps crashing whenever I try to access the dashboard,Technical Support,High,printer issue
Reporting an issue requesting an update to my mailing address after a recent change,Human Resources,High,employment letter
For your attention our hosting service was billed before the trial period ended,Billing and Payments,Low,invoice payment
Hello the tax amount on my account statement appears to be calculated incorrectly,Billing and Payments,Medium,payment failed
Can I exchange this tablet for a newer color,Returns and Exchanges,Medium,wrong item
